TotalNumberOfVotes,Score,Time,WordsInSummary,WordsInText,HelpfulnessScore
2,5,2007,6,76,100
11,5,2007,3,20,90.9090909091
6,5,2007,4,59,66.6666666667
5,5,2007,3,18,100
7,5,2007,5,45,100
19,1,2007,2,43,0
2,5,2007,3,120,100
19,3,2007,4,57,10.5263157895
4,5,2007,4,16,75
4,5,2007,8,15,100
1,3,2007,3,38,100
10,5,2007,12,22,80
0,5,2007,1,15,0
4,5,2007,4,24,100
1,5,2007,2,45,100
6,5,2007,4,140,83.3333333333
28,5,2007,1,69,100
1,5,2007,5,25,100
0,4,2007,3,55,0
0,5,2007,1,19,0
11,2,2007,3,162,81.8181818182
5,5,2007,2,53,80
5,5,2007,2,150,100
5,4,2007,5,32,80
6,2,2007,3,13,33.3333333333
0,5,2007,1,51,0
2,4,2007,5,63,100
2,5,2007,3,87,100
0,5,2007,5,13,0
8,5,2007,14,180,100
1,5,2007,7,48,100
7,5,2007,3,40,85.7142857143
1,5,2007,4,59,100
3,5,2007,4,22,100
5,5,2007,5,27,100
0,4,2007,4,13,0
5,5,2007,3,25,100
24,1,2007,1,109,41.6666666667
1,4,2007,4,21,100
23,1,2007,2,23,21.7391304348
3,5,2007,1,90,100
4,5,2007,4,45,100
7,5,2007,2,120,100
0,5,2007,2,130,0
1,5,2007,4,45,100
1,5,2007,3,33,100
1,5,2007,3,15,100
1,5,2007,3,28,100
8,5,2007,7,93,100
1,5,2007,2,56,100
9,4,2007,4,200,100
0,5,2007,3,13,0
0,5,2007,1,36,0
3,5,2007,4,12,100
1,5,2007,8,38,100
5,5,2007,4,80,80
5,5,2007,8,134,100
6,5,2007,6,43,100
7,5,2007,6,98,100
3,5,2007,3,103,66.6666666667
14,5,2007,2,113,100
17,5,2007,4,75,100
14,1,2007,2,123,7.14285714286
33,5,2007,7,110,100
14,3,2007,3,128,28.5714285714
3,5,2007,3,26,66.6666666667
8,1,2007,3,154,37.5
0,5,2007,2,36,0
17,5,2007,2,20,82.3529411765
20,5,2007,4,81,95
1,4,2007,1,40,100
2,5,2007,2,23,100
2,5,2007,5,98,100
0,4,2007,9,72,0
0,5,2007,2,19,0
0,5,2007,1,39,0
0,5,2007,2,39,0
28,5,2007,4,178,96.4285714286
10,5,2007,4,94,100
6,5,2007,2,124,100
9,3,2007,5,39,100
5,5,2007,3,33,80
7,5,2007,3,253,100
10,5,2007,4,1005,100
1,5,2007,4,26,100
0,5,2007,1,23,0
3,5,2007,3,69,100
3,5,2007,6,33,100
50,5,2007,10,238,96
1,5,2007,3,52,100
0,5,2007,2,21,0
2,5,2007,3,23,100
8,5,2007,1,24,100
0,5,2007,4,38,0
5,4,2007,1,46,40
108,5,2007,11,303,97.2222222222
0,5,2007,6,9,0
2,5,2007,8,75,50
5,3,2007,10,456,80
1,5,2007,5,26,100
1,5,2007,5,57,100
2,3,2007,6,33,0
3,1,2007,3,30,33.3333333333
1,5,2007,2,40,100
9,4,2007,3,55,77.7777777778
1,5,2007,3,118,100
3,5,2007,5,118,100
5,5,2007,6,154,100
17,5,2007,4,342,88.2352941176
15,5,2007,6,71,100
7,5,2007,3,85,85.7142857143
2,5,2007,9,71,100
2,5,2007,3,19,100
7,5,2007,1,23,100
7,5,2007,8,25,100
2,5,2007,2,22,50
1,5,2007,2,65,100
14,5,2007,2,26,100
5,4,2007,3,72,80
4,1,2007,1,55,100
4,5,2007,1,43,100
4,4,2007,2,30,100
2,5,2007,1,30,100
2,5,2007,4,27,100
1,5,2007,5,56,100
0,5,2007,3,44,0
0,5,2007,3,25,0
6,4,2007,1,56,100
6,5,2007,5,32,100
3,4,2007,6,38,100
7,3,2007,2,50,85.7142857143
2,5,2007,3,27,100
5,5,2007,5,32,80
0,4,2007,5,35,0
5,4,2007,5,51,100
5,5,2007,1,50,100
2,5,2007,4,91,100
171,5,2007,1,114,99.4152046784
2,5,2007,2,17,100
5,3,2007,6,62,60
4,5,2007,7,121,100
13,5,2007,5,42,100
1,5,2007,5,60,100
16,5,2007,4,37,100
7,5,2007,6,63,100
7,5,2007,5,74,71.4285714286
4,5,2007,2,27,75
1,4,2007,7,86,100
1,5,2007,5,48,100
6,5,2007,2,14,83.3333333333
3,5,2007,13,195,100
5,5,2007,4,35,100
4,5,2007,3,73,100
0,5,2007,4,39,0
1,5,2007,4,70,0
0,5,2007,7,23,0
1,5,2007,1,15,100
3,2,2007,2,20,0
3,4,2007,3,35,100
1,5,2007,2,60,100
0,4,2007,1,37,0
29,5,2007,4,116,100
6,5,2007,3,70,100
25,5,2007,2,31,92
14,5,2007,6,118,100
9,5,2007,3,60,100
0,4,2007,4,14,0
1,3,2007,2,20,0
11,4,2007,4,12,72.7272727273
35,2,2007,3,78,40
4,4,2007,2,44,100
9,4,2007,8,34,100
2,3,2007,5,43,100
2,3,2007,4,44,0
4,5,2007,6,32,75
1,5,2007,2,52,100
69,1,2007,4,111,72.4637681159
5,5,2007,10,47,100
3,5,2007,6,151,66.6666666667
5,2,2007,4,94,40
3,5,2007,1,77,100
1,5,2007,4,33,100
6,5,2007,2,59,100
10,5,2007,5,124,100
1,5,2007,4,73,100
0,5,2007,3,26,0
22,3,2007,10,119,77.2727272727
1,5,2007,2,55,100
5,5,2007,6,20,100
5,5,2007,6,33,100
1,5,2007,5,26,100
0,5,2007,6,46,0
2,5,2007,4,60,100
0,5,2007,4,12,0
4,4,2007,6,124,100
2,5,2007,5,25,50
6,5,2007,3,101,100
16,5,2007,3,172,100
11,5,2007,6,146,81.8181818182
3,5,2007,2,44,66.6666666667
3,3,2007,2,27,66.6666666667
4,5,2007,1,18,100
1,5,2007,5,68,100
3,5,2007,4,56,100
3,5,2007,4,52,100
1,5,2007,8,141,100
27,5,2007,1,138,100
5,2,2007,2,118,80
1,1,2007,3,48,100
5,1,2007,8,35,100
1,5,2007,2,46,100
2,5,2007,5,83,50
1,5,2007,5,55,100
27,5,2007,4,149,100
4,2,2007,4,37,75
1,5,2007,6,41,100
22,2,2007,4,61,86.3636363636
5,5,2007,2,65,100
2,5,2007,6,76,100
4,5,2007,7,194,100
4,5,2007,4,51,75
2,5,2007,5,49,50
6,3,2007,2,49,16.6666666667
1,5,2007,1,60,100
4,5,2007,3,16,100
7,5,2007,11,144,85.7142857143
1,5,2007,5,78,100
1,4,2007,1,60,100
7,5,2007,2,41,85.7142857143
4,4,2007,5,47,75
33,5,2007,4,121,93.9393939394
2,5,2007,3,64,100
1,5,2007,3,26,100
0,4,2007,5,99,0
5,4,2007,5,30,100
5,5,2007,5,93,80
0,4,2007,2,28,0
1,3,2007,2,12,0
4,5,2007,2,24,100
4,5,2007,4,17,75
4,5,2007,5,20,75
7,5,2007,2,82,85.7142857143
3,5,2007,1,16,100
3,5,2007,2,56,100
5,4,2007,3,13,100
1,4,2007,1,36,0
1,4,2007,4,41,100
12,2,2007,4,18,25
31,1,2007,2,44,22.5806451613
0,5,2007,3,20,0
0,5,2007,2,30,0
7,5,2007,2,25,85.7142857143
2,5,2007,3,48,0
2,5,2007,2,15,50
3,5,2007,2,21,100
3,4,2007,4,38,100
4,5,2007,4,71,100
1,5,2007,1,52,100
7,2,2007,3,29,100
5,5,2007,3,27,100
0,5,2007,5,23,0
5,5,2007,4,21,100
8,1,2007,4,32,12.5
0,5,2007,3,26,0
2,5,2007,5,139,100
6,5,2007,2,65,83.3333333333
1,5,2007,3,46,100
1,5,2007,1,44,100
1,5,2007,6,31,100
5,5,2007,7,285,100
9,5,2007,2,92,100
7,5,2007,6,39,100
5,3,2007,2,38,80
9,5,2007,6,54,100
11,5,2007,5,60,100
2,5,2007,2,51,100
3,5,2007,5,30,100
2,5,2007,1,38,50
0,5,2007,1,18,0
5,5,2007,8,34,100
0,5,2007,2,67,0
3,5,2007,2,27,100
8,5,2007,4,53,100
2,5,2007,2,17,50
3,5,2007,3,24,100
10,1,2007,1,35,20
1,5,2007,5,32,100
8,1,2007,8,54,100
0,4,2007,4,34,0
0,5,2007,7,73,0
9,5,2007,5,90,100
0,4,2007,8,49,0
0,5,2007,3,51,0
0,5,2007,2,28,0
6,5,2007,1,16,83.3333333333
5,5,2007,2,39,60
4,5,2007,3,39,100
0,5,2007,3,23,0
0,5,2007,2,17,0
0,5,2007,2,30,0
2,2,2007,2,25,100
0,5,2007,1,27,0
7,4,2007,8,99,100
15,5,2007,1,14,13.3333333333
0,5,2007,4,30,0
3,5,2007,1,14,100
7,1,2007,10,533,42.8571428571
25,1,2007,5,75,100
2,5,2007,1,20,100
0,1,2007,2,20,0
4,5,2007,2,32,100
6,5,2007,1,14,83.3333333333
5,5,2007,6,71,100
2,5,2007,7,58,100
0,5,2007,3,45,0
11,2,2007,4,32,72.7272727273
0,5,2007,4,147,0
8,5,2007,4,72,100
0,5,2007,3,41,0
1,5,2007,2,78,100
0,5,2007,7,16,0
4,5,2007,5,48,100
0,5,2007,7,47,0
3,5,2007,3,28,100
1,3,2007,2,48,100
0,4,2007,3,16,0
6,4,2007,7,184,100
0,5,2007,1,29,0
15,5,2007,4,204,100
0,5,2007,4,122,0
7,5,2007,4,127,100
5,5,2007,4,63,80
2,5,2007,3,66,100
2,5,2007,3,71,100
0,5,2007,1,31,0
10,5,2007,5,50,70
1,5,2007,3,16,100
7,4,2007,2,84,100
13,5,2007,5,78,69.2307692308
5,5,2007,6,58,80
2,1,2007,8,37,100
4,4,2007,4,42,100
11,4,2007,2,171,100
3,4,2007,6,77,100
1,5,2007,3,16,0
6,4,2007,4,48,100
4,5,2007,2,54,75
1,5,2007,1,21,100
2,5,2007,3,90,100
3,5,2007,3,20,66.6666666667
1,5,2007,3,62,0
5,5,2007,2,20,80
5,5,2007,2,42,80
9,5,2007,2,23,100
1,5,2007,2,27,100
0,4,2007,4,63,0
8,5,2007,8,121,100
1,5,2007,1,22,100
1,5,2007,5,44,100
2,2,2007,2,26,50
7,3,2007,15,89,42.8571428571
2,5,2007,5,30,100
6,3,2007,4,67,100
0,5,2007,4,30,0
0,5,2007,1,15,0
4,5,2007,2,51,75
1,5,2007,5,47,100
1,5,2007,4,30,100
10,5,2007,3,83,100
3,5,2007,1,14,100
3,5,2007,3,50,100
1,4,2007,2,17,100
1,5,2007,3,39,100
1,5,2007,5,35,100
4,5,2007,7,186,75
15,5,2007,4,185,100
2,4,2007,3,129,100
3,5,2007,5,40,66.6666666667
6,5,2007,4,52,100
0,5,2007,3,21,0
3,5,2007,5,39,100
0,5,2007,3,24,0
0,5,2007,3,24,0
0,3,2007,5,38,0
0,4,2007,2,81,0
7,5,2007,6,89,85.7142857143
4,5,2007,1,34,50
0,5,2007,4,15,0
14,1,2007,1,16,0
10,5,2007,1,62,100
9,5,2007,3,66,100
1,5,2007,6,44,100
4,5,2007,3,61,75
15,5,2007,6,115,93.3333333333
3,5,2007,3,14,100
5,5,2007,1,52,100
12,5,2007,4,131,75
6,5,2007,4,81,83.3333333333
4,5,2007,3,40,75
2,5,2007,2,16,0
3,5,2007,4,22,0
3,3,2007,3,41,100
5,5,2007,3,165,100
0,5,2007,3,61,0
0,5,2007,3,65,0
1,5,2007,2,23,100
4,5,2007,4,108,100
2,3,2007,3,17,50
0,1,2007,3,124,0
5,5,2007,1,56,80
2,3,2007,5,42,100
13,5,2007,5,72,92.3076923077
0,5,2007,2,82,0
28,1,2007,1,53,50
6,1,2007,4,58,33.3333333333
16,3,2007,4,58,50
13,3,2007,4,106,76.9230769231
18,1,2007,6,69,72.2222222222
4,5,2007,8,43,75
1,4,2007,5,56,100
1,5,2007,1,59,100
7,4,2007,1,32,100
9,5,2007,2,55,100
1,5,2007,5,82,0
1,5,2007,4,37,0
0,5,2007,3,24,0
2,4,2007,2,35,100
3,4,2007,3,18,100
5,5,2007,2,54,80
6,1,2007,8,29,0
2,5,2007,2,26,100
3,3,2007,1,49,66.6666666667
6,3,2007,6,60,100
5,5,2007,3,63,80
1,3,2007,7,65,100
4,5,2007,6,84,75
4,5,2007,5,246,75
6,5,2007,2,53,100
3,4,2007,2,51,100
12,5,2007,6,71,75
7,4,2007,3,67,85.7142857143
11,4,2007,8,152,100
22,5,2007,8,190,100
43,4,2007,6,583,95.3488372093
0,5,2007,2,53,0
14,2,2007,8,109,64.2857142857
1,5,2007,6,84,100
0,5,2007,2,133,0
21,5,2007,2,46,100
13,5,2007,3,85,100
10,4,2007,2,16,80
1,5,2007,3,107,100
5,5,2007,2,19,60
1,5,2007,2,48,100
2,5,2007,7,44,100
3,5,2007,2,51,100
2,5,2007,4,80,50
2,5,2007,2,31,100
3,5,2007,2,35,100
4,5,2007,3,71,75
4,5,2007,4,50,100
2,5,2007,4,55,50
1,4,2007,5,78,100
0,5,2007,2,36,0
0,5,2007,3,30,0
3,5,2007,5,103,66.6666666667
1,4,2007,10,233,100
7,5,2007,2,76,100
5,5,2007,4,50,80
2,5,2007,3,61,50
0,5,2007,2,53,0
1,5,2007,2,43,100
6,5,2007,5,27,83.3333333333
1,5,2007,10,83,0
3,4,2007,4,39,100
0,5,2007,3,35,0
6,5,2007,4,19,83.3333333333
25,4,2007,5,221,96
12,5,2007,3,175,100
9,5,2007,3,98,100
5,5,2007,3,128,100
66,5,2007,6,136,98.4848484848
0,5,2007,2,13,0
3,5,2007,2,72,100
0,5,2007,3,21,0
7,4,2007,7,125,85.7142857143
1,5,2007,6,47,100
5,5,2007,5,47,100
5,5,2007,2,22,100
15,3,2007,3,80,73.3333333333
3,3,2007,7,22,100
3,5,2007,6,32,33.3333333333
4,4,2007,9,59,100
1,4,2007,11,28,0
2,5,2007,2,19,100
4,5,2007,3,18,100
7,5,2007,4,65,85.7142857143
2,4,2007,9,47,100
0,4,2007,7,86,0
2,4,2007,2,27,50
2,5,2007,5,23,50
25,5,2007,6,102,100
5,5,2007,6,25,60
11,5,2007,5,122,100
1,5,2007,1,57,100
33,4,2007,3,52,90.9090909091
8,5,2007,4,67,100
2,5,2007,2,36,100
2,5,2007,3,70,100
2,5,2007,2,37,100
2,5,2007,4,59,100
6,4,2007,6,142,100
1,4,2007,3,67,100
5,4,2007,1,12,40
13,5,2007,1,101,100
0,5,2007,2,40,0
6,2,2007,4,35,50
0,4,2007,4,32,0
0,5,2007,1,32,0
9,5,2007,1,84,66.6666666667
7,5,2007,1,29,71.4285714286
12,5,2007,3,31,100
10,5,2007,6,32,100
14,5,2007,4,62,92.8571428571
7,5,2007,3,143,100
13,5,2007,7,75,92.3076923077
4,4,2007,1,35,25
0,5,2007,1,70,0
0,3,2007,4,55,0
1,4,2007,1,29,100
4,1,2007,1,67,50
16,3,2007,7,203,75
1,2,2007,2,16,100
0,5,2007,3,32,0
2,5,2007,4,40,50
2,2,2007,2,27,50
2,5,2007,3,28,50
6,5,2007,4,132,100
6,4,2007,2,22,100
1,5,2007,2,39,100
0,5,2007,1,55,0
4,4,2007,3,62,100
4,3,2007,1,21,50
4,4,2007,3,132,100
3,5,2007,7,56,100
9,5,2007,2,64,100
11,5,2007,3,92,100
20,5,2007,5,119,100
4,5,2007,3,21,50
8,4,2007,2,61,75
1,5,2007,7,32,100
1,5,2007,3,56,100
6,4,2007,3,19,33.3333333333
5,5,2007,2,82,100
0,5,2007,2,20,0
6,4,2007,9,23,50
8,3,2007,5,280,100
1,4,2007,2,46,100
2,5,2007,2,98,100
2,5,2007,3,69,100
7,5,2007,2,155,85.7142857143
6,5,2007,5,47,83.3333333333
10,5,2007,5,23,100
30,5,2007,4,50,96.6666666667
4,4,2007,6,27,75
4,5,2007,6,36,75
4,5,2007,3,19,25
1,5,2007,2,19,100
2,5,2007,2,22,100
10,5,2007,4,123,90
5,2,2007,3,94,60
6,5,2007,4,91,100
6,5,2007,2,22,100
15,5,2007,5,47,93.3333333333
17,5,2007,8,62,100
6,1,2007,4,95,33.3333333333
1,5,2007,3,47,100
0,5,2007,11,83,0
2,5,2007,2,63,100
0,5,2007,8,50,0
4,5,2007,5,137,100
13,5,2007,2,45,92.3076923077
3,5,2007,2,21,100
17,4,2007,7,138,94.1176470588
5,3,2007,6,62,100
9,5,2007,2,69,77.7777777778
0,5,2007,2,62,0
12,5,2007,3,481,91.6666666667
2,5,2007,7,48,50
11,1,2007,2,26,45.4545454545
1,5,2007,1,54,100
5,1,2007,2,40,20
3,3,2007,7,123,100
4,5,2007,2,37,25
12,2,2007,1,25,50
2,5,2007,3,14,100
5,5,2007,6,97,80
14,5,2007,1,63,92.8571428571
3,5,2007,5,124,100
6,5,2007,4,31,100
0,5,2007,1,43,0
2,5,2007,2,20,100
9,5,2007,3,26,77.7777777778
10,1,2007,8,71,100
4,1,2007,6,21,100
8,5,2007,6,167,87.5
3,5,2007,3,43,100
0,4,2007,1,180,0
0,5,2007,6,13,0
84,5,2007,5,42,91.6666666667
0,5,2007,7,52,0
14,4,2007,10,91,100
1,4,2007,1,330,100
0,5,2007,4,30,0
4,3,2007,5,213,75
0,5,2007,3,48,0
0,5,2007,4,49,0
0,5,2007,4,56,0
1,5,2007,5,26,100
8,5,2007,5,89,87.5
3,5,2007,1,67,66.6666666667
2,3,2007,3,73,0
1,5,2007,9,150,100
1,5,2007,5,54,100
4,5,2007,4,36,75
2,5,2007,2,40,100
1,5,2007,3,56,100
8,5,2007,4,70,100
4,4,2007,3,82,75
1,5,2007,2,37,100
8,4,2007,3,20,62.5
8,1,2007,7,179,37.5
9,5,2007,3,31,88.8888888889
17,3,2007,5,75,47.0588235294
9,5,2007,7,207,100
5,5,2007,4,73,100
3,5,2007,2,50,100
5,5,2007,3,129,100
0,5,2007,4,55,0
2,5,2007,5,59,50
3,5,2007,2,53,100
7,5,2007,5,20,71.4285714286
1,5,2007,3,72,100
4,4,2007,3,31,100
0,5,2007,2,27,0
5,5,2007,2,30,60
1,5,2007,6,30,100
5,3,2007,6,62,60
2,5,2007,1,14,100
4,5,2007,1,81,100
10,5,2007,6,94,100
6,1,2007,6,129,100
2,5,2007,2,90,100
1,5,2007,8,64,100
1,1,2007,2,21,100
9,5,2007,4,32,100
2,3,2007,8,58,50
6,2,2007,2,46,33.3333333333
6,5,2007,4,21,100
11,3,2007,2,17,72.7272727273
3,5,2007,4,51,100
3,5,2007,4,91,100
1,5,2007,2,24,100
5,5,2007,2,39,100
4,5,2007,4,46,75
5,3,2007,2,43,80
6,5,2007,5,15,83.3333333333
12,1,2007,10,39,58.3333333333
13,4,2007,4,39,100
3,2,2007,4,33,100
6,4,2007,2,179,83.3333333333
4,5,2007,4,147,75
2,5,2007,3,29,100
5,5,2007,1,77,100
3,5,2007,3,107,100
1,5,2007,4,64,100
0,3,2007,2,57,0
1,4,2007,5,23,0
3,1,2007,2,63,33.3333333333
0,5,2007,2,28,0
6,5,2007,4,61,100
5,5,2007,4,54,100
7,5,2007,5,53,85.7142857143
0,5,2007,1,27,0
0,5,2007,10,64,0
4,5,2007,2,51,100
8,5,2007,4,12,75
5,5,2007,4,74,100
15,5,2007,11,145,100
1,5,2007,7,108,0
1,5,2007,1,39,100
2,5,2007,2,31,50
5,5,2007,2,52,100
0,4,2007,1,35,0
99,5,2007,3,200,95.9595959596
31,3,2007,3,36,12.9032258065
1,5,2007,4,17,0
3,5,2007,2,14,66.6666666667
12,5,2007,2,18,100
0,5,2007,2,39,0
0,5,2007,6,45,0
0,5,2007,9,33,0
0,4,2007,6,115,0
3,2,2007,3,50,100
4,5,2007,4,27,100
2,4,2007,2,18,100
9,4,2007,15,148,100
13,2,2007,6,64,15.3846153846
1,5,2007,3,134,100
1,5,2007,4,53,100
1,5,2007,5,44,100
2,4,2007,10,34,100
2,5,2007,4,13,100
2,1,2007,1,19,50
2,5,2007,1,31,100
6,2,2007,3,37,83.3333333333
3,5,2007,6,47,100
5,5,2007,5,58,100
4,5,2007,3,30,100
0,5,2007,1,45,0
9,5,2007,2,41,66.6666666667
1,4,2007,4,45,100
1,5,2007,2,27,100
1,4,2007,7,44,100
7,5,2007,8,93,85.7142857143
1,5,2007,6,48,100
0,5,2007,4,52,0
85,5,2007,3,209,97.6470588235
45,5,2007,3,85,93.3333333333
8,3,2007,2,102,100
2,5,2007,11,4,0
1,5,2007,10,7,0
0,5,2007,6,46,0
0,4,2007,6,96,0
0,5,2007,3,24,0
0,4,2007,2,25,0
0,5,2007,6,59,0
4,4,2007,2,26,100
3,5,2007,2,35,100
3,5,2007,3,16,100
5,4,2007,3,111,100
1,5,2007,4,124,100
1,5,2007,10,43,100
6,5,2007,5,54,100
1,5,2007,3,27,100
0,5,2007,1,36,0
2,5,2007,7,61,100
0,5,2007,3,48,0
6,3,2007,9,69,33.3333333333
2,5,2007,2,26,100
0,5,2007,3,192,0
0,3,2007,1,20,0
7,3,2007,9,50,14.2857142857
3,5,2007,4,79,66.6666666667
5,5,2007,4,46,80
4,5,2007,4,57,75
7,5,2007,2,92,100
1,5,2007,2,29,100
3,5,2007,8,75,66.6666666667
12,5,2007,5,39,83.3333333333
3,5,2007,5,19,66.6666666667
73,4,2007,6,570,93.1506849315
11,5,2007,2,33,100
0,5,2007,2,66,0
2,3,2007,7,76,50
13,5,2007,3,55,84.6153846154
16,1,2007,2,23,6.25
0,5,2007,2,18,0
12,1,2007,7,49,8.33333333333
13,2,2007,4,305,15.3846153846
5,5,2007,3,54,80
1,5,2007,3,79,100
0,5,2007,3,36,0
1,5,2007,5,25,100
11,5,2007,1,59,100
13,5,2007,9,128,100
12,5,2007,2,91,100
6,5,2007,5,54,100
2,4,2007,9,57,100
4,5,2007,6,114,100
5,5,2007,2,62,100
3,5,2007,3,37,100
8,5,2007,3,40,87.5
2,4,2007,4,152,50
11,5,2007,6,75,100
0,5,2007,2,71,0
1,5,2007,2,41,100
11,5,2007,4,12,72.7272727273
9,1,2007,2,17,11.1111111111
0,4,2007,6,342,0
11,3,2007,10,22,9.09090909091
2,5,2007,3,18,100
10,1,2007,5,94,50
4,5,2007,4,25,100
4,5,2007,6,91,100
0,5,2007,4,94,0
0,3,2007,8,50,0
2,4,2007,3,57,100
4,5,2007,2,44,100
1,5,2007,3,77,100
3,5,2007,2,81,66.6666666667
1,5,2007,8,15,100
1,5,2007,6,38,100
1,5,2007,12,37,100
4,5,2007,4,15,75
3,5,2007,2,18,66.6666666667
8,5,2007,2,30,62.5
23,3,2007,5,142,65.2173913043
3,5,2007,5,27,100
3,5,2007,5,23,66.6666666667
5,5,2007,5,59,100
4,4,2007,2,18,75
1,4,2007,5,113,100
4,5,2007,5,13,100
1,5,2007,3,92,100
2,5,2007,3,55,50
2,3,2007,2,189,100
26,5,2007,7,29,84.6153846154
3,5,2007,2,23,100
4,5,2007,7,137,100
1,5,2007,1,24,100
3,4,2007,2,44,100
1,5,2007,4,29,100
1,5,2007,5,89,100
2,5,2007,3,27,100
2,5,2007,11,20,100
5,5,2007,3,273,80
1,5,2007,5,69,100
1,5,2007,4,54,100
1,5,2007,6,75,100
1,5,2007,4,125,100
14,5,2007,3,98,78.5714285714
7,5,2007,3,99,85.7142857143
34,5,2007,9,158,100
5,5,2007,9,112,100
2,5,2007,2,30,50
9,5,2007,2,62,100
3,5,2007,1,13,100
2,5,2007,3,77,50
2,5,2007,4,59,50
2,5,2007,2,17,100
5,5,2007,4,45,80
18,1,2007,2,53,5.55555555556
3,5,2007,3,43,100
2,5,2007,2,67,50
2,5,2007,3,20,50
10,4,2007,5,73,50
0,5,2007,6,43,0
4,4,2007,3,62,75
4,3,2007,5,16,75
2,4,2007,8,36,100
9,2,2007,3,37,44.4444444444
3,5,2007,1,24,100
3,5,2007,3,16,100
0,5,2007,1,28,0
1,5,2007,6,39,100
0,5,2007,2,52,0
0,5,2007,5,158,0
10,5,2007,3,36,90
7,5,2007,2,190,100
0,5,2007,3,69,0
0,5,2007,4,127,0
4,5,2007,2,28,100
0,5,2007,8,28,0
7,5,2007,2,54,100
2,3,2007,6,187,100
4,1,2007,4,18,0
4,5,2007,3,50,100
2,1,2007,2,24,50
3,5,2007,4,19,100
3,5,2007,2,13,100
0,4,2007,5,28,0
0,5,2007,7,51,0
5,5,2007,5,122,100
1,5,2007,3,22,100
0,5,2007,4,114,0
3,4,2007,6,86,33.3333333333
5,4,2007,4,62,100
1,5,2007,6,25,0
0,5,2007,4,45,0
0,5,2007,2,38,0
2,5,2007,4,20,0
20,1,2007,2,156,60
4,5,2007,5,58,75
2,4,2007,6,70,100
22,1,2007,2,114,100
4,5,2007,4,92,50
12,5,2007,2,50,91.6666666667
5,1,2007,2,14,0
51,5,2007,4,133,98.0392156863
3,5,2007,4,33,100
24,5,2007,4,72,100
17,2,2007,3,18,11.7647058824
24,1,2007,1,51,4.16666666667
0,5,2007,4,96,0
0,5,2007,6,38,0
0,5,2007,5,75,0
5,5,2007,9,106,100
3,5,2007,2,66,100
10,4,2007,5,87,100
22,1,2007,6,132,90.9090909091
0,5,2007,4,52,0
0,5,2007,4,50,0
2,5,2007,5,18,50
3,5,2007,9,106,100
15,3,2007,4,221,93.3333333333
4,5,2007,4,56,100
4,4,2007,8,226,75
1,4,2007,4,46,100
0,5,2007,5,23,0
0,5,2007,4,39,0
1,5,2007,5,59,100
5,4,2007,2,72,100
6,5,2007,3,55,100
0,5,2007,8,192,0
1,5,2007,2,34,100
8,5,2007,6,304,87.5
13,5,2007,4,48,92.3076923077
3,4,2007,2,64,100
2,5,2007,6,154,100
1,1,2007,1,62,100
0,5,2007,4,34,0
3,5,2007,7,46,100
8,3,2007,6,59,87.5
3,5,2007,3,54,100
7,5,2007,5,79,100
0,3,2007,2,21,0
6,2,2007,10,28,0
2,4,2007,3,22,100
15,2,2007,2,63,13.3333333333
6,5,2007,5,51,100
2,5,2007,5,32,50
0,5,2007,6,30,0
0,4,2007,3,40,0
0,5,2007,1,39,0
25,5,2007,5,71,100
6,5,2007,3,56,66.6666666667
28,5,2007,6,190,100
0,5,2007,2,19,0
5,5,2007,3,20,100
2,5,2007,16,29,100
0,4,2007,4,50,0
2,3,2007,5,88,50
5,5,2007,3,132,100
5,5,2007,1,52,100
0,4,2007,2,24,0
1,5,2007,2,28,100
3,5,2007,7,54,100
5,5,2007,8,117,100
2,5,2007,4,65,100
0,5,2007,4,36,0
0,4,2007,3,50,0
2,5,2007,2,57,100
9,4,2007,5,67,100
0,5,2007,3,55,0
3,5,2007,4,135,100
15,1,2007,5,39,60
2,3,2007,9,44,50
3,5,2007,2,17,33.3333333333
1,4,2007,1,26,0
2,5,2007,3,125,100
2,4,2007,2,18,100
2,5,2007,5,39,100
1,5,2007,4,29,100
14,3,2007,1,44,57.1428571429
42,5,2007,3,102,97.619047619
3,5,2007,3,17,100
2,5,2007,5,95,100
1,4,2007,1,81,0
14,5,2007,5,137,100
9,2,2007,7,21,44.4444444444
1,4,2007,2,27,100
0,5,2007,2,27,0
2,5,2007,4,37,50
6,5,2007,5,29,100
5,5,2007,3,20,100
3,5,2007,4,21,100
4,4,2007,3,98,100
2,5,2007,2,34,100
11,2,2007,3,40,100
9,5,2007,8,36,77.7777777778
1,1,2007,3,21,100
1,5,2007,5,76,100
5,5,2007,3,237,100
14,5,2007,1,27,78.5714285714
20,5,2007,2,28,95
1,3,2007,6,16,100
0,1,2007,1,16,0
2,4,2007,4,39,100
3,5,2007,3,50,100
0,5,2007,4,48,0
2,5,2007,3,48,100
3,5,2007,4,36,33.3333333333
1,5,2007,3,58,100
1,5,2007,3,35,100
2,5,2007,4,42,100
9,5,2007,5,76,100
4,4,2007,2,102,75
2,5,2007,1,74,100
2,3,2007,6,99,100
3,4,2007,3,80,100
1,5,2007,1,56,100
4,3,2007,8,189,0
2,5,2007,7,73,100
27,5,2007,4,162,100
11,5,2007,4,90,100
5,5,2007,6,67,80
5,3,2007,3,128,100
3,5,2007,3,15,100
1,2,2007,2,120,0
3,5,2007,3,43,100
0,4,2007,5,15,0
0,5,2007,2,40,0
1,5,2007,3,26,100
3,5,2007,7,8,100
